LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score,period_vs_amp
5272753,0.485827,0.485831,0.485829,1.000008,601,0.0373204491087362,1.5,0.9,0.0404739822095601,1.5,1.0,15.43,1.09,48,0.0274725773284998,3.5,1.6,0.0301083250613328,3.1,1.8,15.56,0.79,2.0583,2.0861,35.9777,0.0533,14.7049,2.0029,2.0399,26.9869,0.0438,5.4928,0.3,1e-05,2,L,,,
5308380,0.609172,0.609169,0.609171,0.999995,487,0.1005733443858847,1.6,1.1,0.1044325240269276,1.6,1.2,16.03,0.69,51,0.0262377817777206,1.4,1.1,0.0256105992489906,1.3,1.1,16.19,0.63,1.6416,1.6755,29.5116,0.0514,12.0085,1.6416,1.663,46.62,0.0636,7.6055,0.06,0.0,1,Z,,,
5374444,0.361871,0.361869,0.36187,0.999994,329,0.1934306327030606,3.0,1.5,0.186346089719407,3.0,1.5,15.99,0.35,47,0.0879856333979876,7.5,2.3,0.0908418731862743,7.4,2.3,15.96,0.35,2.7634,2.8339,14.1804,0.0197,9.7332,2.7634,2.7821,53.5762,0.056,9.3225,0.0,1e-05,1,Z,,,
5549773,0.374917,0.374914,0.374916,0.999992,533,0.0908883145126392,0.6,0.7,0.0916782581200323,0.6,0.7,16.02,0.38,45,0.0387322840281059,0.9,0.9,0.0462210254633886,0.9,1.0,16.01,0.28,2.6673,2.7012,29.4681,0.0441,20.1079,2.6673,2.6704,320.5128,0.0681,11.7385,0.1,1e-05,1,Z,,,
5749985,0.606284,0.60629,0.606287,1.00001,340,0.110298811707468,1.0,0.8,0.1062095636398639,1.0,0.8,16.19,0.45,51,0.0304788110673449,1.1,0.7,0.0319173527815266,1.1,0.7,16.15,0.35,1.6494,1.7171,14.7612,0.0639,7.5675,1.6494,1.6533,254.1296,0.0502,6.7386,0.1,1e-05,1,Z,,,
5895287,0.539169,0.539184,0.539176,1.000028,522,0.0953663155453932,5.2,1.7,0.0979940619292697,6.4,1.8,15.53,0.75,45,0.0709824026344161,13.7,3.0,0.0753145023866393,14.0,3.2,15.65,0.52,1.8547,1.8887,29.4594,0.0689,14.0426,1.8547,1.8773,44.1112,0.0533,5.0135,0.23,3e-05,1,Z,,,
5931160,0.6647,0.664708,0.664704,1.000012,587,0.0511306764252143,0.9,0.8,0.0478784379987097,0.9,0.8,15.17,0.35,45,0.0380765985018731,1.0,0.9,0.0464217415317065,1.0,1.0,15.1,0.26,1.5044,1.5383,29.5421,0.0822,14.5345,1.5044,1.5162,84.4951,0.0545,5.8301,0.09,1e-05,1,Z,,,
6729261,0.279963,0.55992,0.419941,1.999979,625,0.3716251460298929,5.2,1.9,0.7772429541094513,8.5,2.6,15.84,0.21,43,0.2494559581260968,7.0,3.4,0.2871216801053026,16.3,3.9,15.98,0.18,3.5719,3.6058,29.4985,0.0127,21.3925,0.5692,0.5925,42.8541,0.1573,4.4135,0.03,0.66666,1,,Z,6.0,period
6819457,0.436282,0.436265,0.436274,0.999961,325,0.1202477732611472,32.5,3.6,0.1473590058839923,39.8,3.9,15.03,0.95,103,0.1557671245918419,71.8,8.1,0.1566812946924053,74.9,8.5,15.23,0.65,2.2921,2.295,346.0208,0.0669,9.4986,2.2922,2.3845,10.8301,0.0288,8.7593,0.3,4e-05,2,,Z,7.0,amp
6883239,0.563711,0.563712,0.563711,1.000002,305,0.0567179444329854,15.1,2.9,0.0567179444329854,15.1,2.9,14.35,0.79,66,0.0548182148739232,10.6,2.5,0.0534756865702515,10.6,2.5,14.45,0.56,1.774,1.8444,14.1935,0.0929,7.2619,1.774,1.7769,336.7003,0.0472,10.2268,0.23,0.0,1,,Z,10.0,amp
6918683,0.344067,0.344073,0.34407,1.000017,268,0.0842046072148762,1.3,1.1,0.0860415260702777,1.4,1.1,15.49,0.44,59,0.0436746598515096,1.2,1.1,0.0425024343068056,0.9,1.0,15.56,0.32,2.9064,2.9769,14.1844,0.0393,14.3588,1.4532,1.4626,106.1008,0.055,9.0648,0.12,2e-05,1,Z,,,
7086820,0.573677,0.573679,0.573678,1.000003,266,0.0512123808093738,3.1,1.0,0.052938109999529,3.1,1.0,15.47,0.97,42,0.0215945921278904,1.3,1.3,0.0221562107304119,1.3,1.3,15.57,0.71,1.7431,1.7771,29.4768,0.0755,11.646,1.743,1.7677,40.4613,0.0692,5.3548,0.26,0.0,1,Z,,,
7124989,0.613706,0.613707,0.613706,1.000002,608,0.0357477731977583,1.5,0.9,0.0357477731977583,1.5,0.9,15.21,0.84,43,0.0336172736450425,2.5,1.7,0.0336460786077905,2.4,1.7,15.24,0.64,1.6294,1.6633,29.5029,0.0412,11.8879,1.6295,1.6408,88.7705,0.0511,5.4589,0.2,0.0,1,Z,,,
7131981,0.662521,0.662521,0.662521,1.0,569,0.0413357733028558,2.4,1.2,0.0413357733028558,2.4,1.2,15.21,0.75,50,0.0152660766249076,1.1,0.7,0.0152660766249076,1.1,0.7,15.19,0.57,1.5094,1.5432,29.5465,0.0544,12.6425,1.5094,1.5138,223.7136,0.0742,9.163,0.18,0.0,1,Z,,,
7254801,0.561133,0.561071,0.561102,0.99989,310,0.1101452466786472,2.2,1.3,0.19806123910575,5.7,1.8,15.88,0.63,54,0.0955274647963707,8.8,2.5,0.1055798665879469,10.8,2.9,16.02,0.41,1.7821,1.8527,14.1563,0.055,6.4741,1.7823,1.8655,12.02,0.036,2.4837,0.22,0.00011,1,,Z,6.0,period
7279621,0.415469,0.415467,0.415468,0.999995,324,0.1860246000311332,5.0,1.9,0.186883261803951,5.1,1.9,15.59,0.38,61,0.0962350262084679,17.1,2.6,0.0979028009084326,17.2,2.7,15.56,0.34,2.4069,2.5166,9.1183,0.0311,5.3593,0.8023,0.8112,113.1862,0.0615,5.6337,0.04,0.0,2,Z,,,
7411461,0.467033,0.482633,0.474833,1.033402,552,0.0649120947218648,2.4,1.0,0.772525121761106,34.9,4.8,15.83,1.09,43,0.0951878992017451,75.8,6.2,0.4714562758521174,185.5,9.3,15.7,1.1,2.1412,2.1751,29.4811,0.0736,14.6889,1.1383,1.1922,18.5718,0.1376,0.8074,0.01,0.03285,1,,Z,7.0,period
7535651,0.594803,0.594804,0.594804,1.000002,263,0.0513408650460581,3.8,1.3,0.0497682172064702,3.7,1.2,15.05,1.06,156,0.0256971223425267,2.2,1.3,0.0256971223425267,2.2,1.3,15.21,0.77,1.6812,1.7209,25.2302,0.0528,6.6067,1.6812,1.6843,321.0273,0.0528,16.9854,0.29,0.0,1,Z,,,
7555727,0.990143,0.393013,0.691578,0.396925,260,0.3935586357489468,7.6,2.9,0.7560872071554501,12.0,4.0,15.55,0.32,197,0.0866865960458608,4.8,1.8,2.9130861950862537,52.9,10.3,15.58,0.27,1.01,1.0271,58.4283,0.1131,9.1663,2.5444,2.5476,316.4557,0.0116,14.6479,0.05,0.86343,1,,L,6.0,period
7580734,0.314956,0.314957,0.314956,1.000003,387,0.1691748133396496,4.1,2.0,0.1691748133396496,4.1,2.0,15.46,0.38,69,0.1328188477314949,12.6,2.9,0.1276706546961379,12.8,3.0,15.59,0.29,3.175,3.2089,29.5596,0.0295,16.956,1.0583,1.0861,36.0295,0.0977,13.3639,0.09,0.0,1,Z,,,
7593064,0.745898,0.745899,0.745898,1.000001,478,0.0973303813250195,0.7,0.8,0.0973303813250195,0.7,0.8,15.85,0.36,46,0.0566532172882313,1.9,1.3,0.0564586952627131,1.9,1.3,15.75,0.29,1.3407,1.3745,29.5552,0.068,11.9132,1.3406,1.3684,36.036,0.1366,9.8653,0.07,0.0,2,Z,,,
7827663,0.390832,0.390832,0.390832,1.0,385,0.2157563737686413,17.7,3.4,0.2157563737686413,17.7,3.4,14.93,0.32,70,0.1457006044537759,11.2,2.7,0.1457006044537759,11.2,2.7,14.88,0.3,2.5586,2.5925,29.5334,0.0264,14.7403,1.2793,1.3393,16.6722,0.0333,3.4099,0.02,0.0,1,,Z,8.0,period
7908628,0.549017,0.549028,0.549022,1.00002,263,0.049393632475553,1.8,1.1,0.0575990202926176,2.5,1.2,15.27,0.88,140,0.0231923954620015,2.6,1.2,0.0251560198566555,2.7,1.3,15.36,0.65,1.8214,1.8442,43.9657,0.0674,7.1387,1.8214,1.8245,326.7974,0.0485,10.0699,0.23,2e-05,1,L,,,
7925995,0.476607,0.476607,0.476607,1.0,270,0.0369933634993698,3.1,1.5,0.0369933634993698,3.1,1.5,15.08,1.14,63,0.0262433303565049,3.7,2.1,0.0262433303565049,3.7,2.1,15.18,0.97,2.0982,2.1458,20.9798,0.0589,8.9378,1.0491,1.0654,61.0128,0.1131,8.0378,0.17,0.0,1,Z,,,
7997579,0.486693,0.486689,0.486691,0.999992,465,0.1527172050601566,2.6,1.3,0.1555399325918763,2.6,1.3,16.32,0.77,45,0.1038396853228787,8.4,2.6,0.0998218482544438,8.1,2.5,16.54,0.48,2.0547,2.0886,29.4551,0.0694,10.7203,2.0546,2.0601,182.8154,0.0622,6.5504,0.29,1e-05,2,Z,,,
8130793,0.640631,0.64051,0.64057,0.999811,256,0.1558503830525026,17.3,3.4,0.2305884624376336,24.7,4.5,14.72,0.35,52,0.0677909287496082,3.4,1.6,0.0917626044726779,7.1,2.5,14.64,0.31,1.561,1.5998,25.7334,0.0537,5.1508,1.5612,1.5645,307.2197,0.1411,8.2011,0.04,0.00019,2,Z,,,
8337518,0.536969,0.53697,0.53697,1.000002,466,0.0659019998243113,1.0,0.8,0.0674681448597328,1.0,0.8,16.24,0.96,66,0.0314370073749096,2.1,1.2,0.0314370073749096,2.1,1.2,16.33,0.68,1.8623,1.8962,29.5159,0.0885,11.0986,1.8623,1.8852,43.63,0.0526,8.7487,0.28,0.0,2,Z,,,
8405435,0.666743,0.666737,0.66674,0.999991,260,0.0521396537620668,1.1,0.9,0.0465716217557979,1.0,0.9,15.49,0.67,201,0.0243638549505304,1.8,1.0,0.0248810765933991,1.7,1.0,15.52,0.53,1.4998,1.5056,172.5626,0.0853,7.0839,1.4998,1.5057,171.6738,0.0181,14.4982,0.14,1e-05,1,L,,,
8428593,0.955946,0.468274,0.71211,0.489854,299,0.1338847076011537,51.2,4.6,0.6236046015918321,144.8,11.3,15.12,1.07,196,0.0307694614589538,4.2,1.7,1.1844630307919897,206.8,16.9,15.2,0.86,1.0461,1.0492,323.1018,0.102,2.1945,2.1355,2.2019,15.0625,0.0268,17.3801,0.21,0.68483,1,,L,9.0,period
8595866,0.33194,0.331942,0.331941,1.000006,318,0.0842169886045285,1.4,1.0,0.0855401844868816,1.4,1.0,15.48,0.35,69,0.0549628963428432,1.6,1.2,0.0663967795833145,1.7,1.5,15.56,0.27,3.0126,3.0464,29.5465,0.0296,16.1702,0.9999,1.0042,235.2941,0.2765,10.6182,0.08,1e-05,1,Z,,,
8610884,0.592421,0.592429,0.592425,1.000014,277,0.1523754075287486,6.3,2.2,0.1573550415108336,6.3,2.2,15.48,0.45,186,0.1271784871281089,25.3,3.7,0.1229517469086671,25.7,3.7,15.4,0.4,1.688,1.7144,37.843,0.0504,9.1348,1.6879,1.6908,352.7337,0.0404,15.638,0.05,1e-05,1,L,,,
8611846,0.601569,0.601574,0.601572,1.000008,269,0.089442394023039,0.7,0.7,0.0862871256409388,0.7,0.7,16.22,0.53,75,0.036301509072357,0.9,0.9,0.033622085288688,0.9,0.9,16.18,0.42,1.6623,1.7266,15.5642,0.0772,7.1344,1.6623,1.6673,201.6129,0.0546,12.2669,0.11,1e-05,1,Z,,,
8640362,0.33272,0.344192,0.338456,1.034479,444,0.1340560051433908,12.6,4.1,1.5241125932070196,12.6,3.9,15.73,1.28,66,0.0775024558693253,2.3,1.4,0.405953741025139,31.5,6.2,15.84,0.27,3.0055,3.0373,31.4367,0.0118,6.9057,1.4527,1.4948,23.7135,0.0225,5.3003,1.01,0.0339,1,,L,8.0,period
8907563,0.513164,0.513164,0.513164,1.0,259,0.1215439380265615,2.8,1.1,0.1215439380265615,2.8,1.1,16.13,0.77,87,0.0905491546661155,15.9,3.4,0.0905491546661155,15.9,3.4,16.2,0.64,1.9487,1.9757,37.0508,0.082,8.2394,1.9487,2.0027,18.5202,0.0571,16.1234,0.13,0.0,1,L,,,
9227464,0.352865,0.352858,0.352862,0.99998,352,0.2897407801377706,34.4,4.4,0.301696303332601,35.0,4.3,14.93,0.3,135,0.1691604259749909,9.1,2.8,0.1637006075081016,9.2,2.8,15.02,0.22,2.8339,2.9184,11.8399,0.0181,7.5471,0.9447,0.9737,34.4175,0.053,9.5332,0.08,2e-05,1,,Z,9.0,amp
9449335,0.47572,0.475695,0.475707,0.999947,257,0.0880160444188826,15.1,2.0,0.1425277396322321,31.2,3.2,15.24,0.89,139,0.0635955329292852,14.5,3.0,0.0664564315628626,25.5,3.3,15.41,0.61,2.1021,2.1359,29.5465,0.1036,11.6301,1.0008,1.034,30.1023,0.0551,9.2197,0.28,5e-05,1,,Z,6.0,period
9532981,0.591,0.591042,0.591021,1.000071,282,0.1600594656094758,7.4,1.7,0.2060557886182857,10.2,2.2,16.0,0.59,72,0.1667527020186703,21.1,4.7,0.177686143170733,23.2,4.5,16.01,0.41,1.692,1.6948,357.7818,0.0979,6.5416,1.6919,1.6947,355.2398,0.0817,14.0854,0.18,7e-05,1,,Z,7.0,period
9818617,0.626065,0.626066,0.626065,1.000002,267,0.0676212595147736,0.9,0.8,0.0676212595147736,0.9,0.8,16.12,0.76,62,0.0265025487428007,2.0,1.0,0.0246321487582685,1.9,0.9,16.12,0.62,1.5973,1.6048,133.6005,0.0798,6.3692,1.5973,1.6001,352.7337,0.0598,10.4412,0.14,0.0,1,L,,,
9852554,0.651339,0.651367,0.651353,1.000043,339,0.1352235083563752,1.1,1.0,0.1575813062664165,1.6,1.1,16.42,0.67,69,0.102352344861151,11.0,2.8,0.084025617504696,9.7,2.2,16.43,0.52,1.5353,1.557,46.0617,0.0544,7.4618,1.5353,1.5403,197.2387,0.0336,6.4626,0.15,4e-05,1,L,,,
9854852,0.668734,0.668729,0.668732,0.999993,294,0.028590180148596,2.3,0.8,0.0327709189575986,2.5,0.9,15.04,0.65,65,0.0307935255963436,2.2,1.3,0.0290437522221103,1.9,1.2,15.09,0.55,1.4954,1.5012,171.3796,0.0733,11.4712,1.4954,1.5269,31.6857,0.0326,7.2602,0.1,1e-05,2,L,,,
9856232,0.626142,0.626129,0.626136,0.999979,335,0.1129414698031987,24.3,3.4,0.1107307832308639,25.0,3.3,14.98,0.83,68,0.0797440611224871,37.3,3.6,0.0954900906653818,36.5,4.4,15.04,0.56,1.5971,1.6337,27.3187,0.0657,5.0604,1.5971,1.6164,51.7331,0.0335,8.1357,0.27,2e-05,2,,Z,10.0,amp
9918809,0.47946,0.479509,0.479484,1.000102,265,0.1662627594748201,7.8,1.9,0.1808201939841665,8.3,2.2,15.81,0.6,126,0.2806876770552423,95.8,10.3,0.2751390730903676,103.2,8.6,15.86,0.5,2.0857,2.1556,14.3113,0.0438,5.8301,2.0848,2.0877,352.7337,0.0184,14.4836,0.1,0.0001,2,,Z,6.0,period
9961135,0.590896,0.590891,0.590894,0.999992,296,0.0866729122113347,2.6,1.1,0.0908926000429105,2.7,1.1,15.58,0.57,71,0.0685711644303672,4.7,1.8,0.0620924618619018,4.7,1.7,15.56,0.45,1.6923,1.7099,57.0288,0.0961,7.3855,1.6924,1.6977,186.2197,0.0318,7.71,0.12,1e-05,1,L,,,
9979905,0.338739,0.338739,0.338739,1.0,457,0.09510644119178,7.9,2.5,0.09510644119178,7.9,2.5,14.72,0.46,70,0.0605025301835803,5.0,1.8,0.0605025301835803,5.0,1.8,14.8,0.37,2.9521,2.986,29.5072,0.0354,19.9321,1.0008,1.0255,40.4531,0.1074,7.5705,0.09,0.0,2,Z,,,
10085065,0.33749,0.337492,0.337491,1.000006,444,0.058549569311762,4.1,1.4,0.0632540052726622,4.2,1.5,14.73,0.4,68,0.0555171931769312,1.1,1.0,0.0514701706869201,1.0,0.9,14.74,0.31,2.963,2.9658,357.7818,0.086,23.7726,0.9877,0.9952,133.2445,0.1054,10.9103,0.09,1e-05,1,Z,,,
10420063,0.487395,0.487394,0.487394,0.999998,488,0.0518131694643486,67.9,4.2,0.0519356813533617,66.2,4.2,13.99,0.97,65,0.0583190106319436,19.5,3.7,0.0583190106319436,19.5,3.7,14.13,0.68,2.0517,2.0857,29.4421,0.0421,10.4333,2.0517,2.1007,20.4207,0.0899,22.549,0.29,0.0,1,,Z,10.0,amp
10481905,0.48472,0.484775,0.484748,1.000113,510,0.1163592439032196,18.1,2.6,0.2102340344855031,38.6,4.2,15.11,0.71,62,0.0669509266075213,50.4,3.3,0.1422897901445639,77.1,6.2,15.15,0.6,2.063,2.097,29.4898,0.0528,11.9191,1.0001,1.0046,220.5072,0.0278,3.9229,0.11,0.00011,1,,Z,11.0,period
10503746,0.573563,0.57357,0.573567,1.000012,264,0.0851732951320413,12.8,2.7,0.0812190910235284,13.7,2.7,14.87,0.83,103,0.0460606295242981,3.6,1.4,0.0496045449547137,3.9,1.5,15.03,0.54,1.7435,1.7576,70.9471,0.07,7.171,1.7435,1.7463,353.3569,0.0351,16.31,0.29,1e-05,2,L,,,
10954700,0.594403,0.594391,0.594397,0.99998,422,0.1285183476860974,4.8,1.5,0.129052872790494,4.8,1.5,15.87,0.7,51,0.0615144853750238,20.5,2.6,0.0709047917463446,18.6,3.1,15.8,0.62,1.6824,1.6852,355.8719,0.1406,15.252,1.6824,1.7091,37.4462,0.0529,5.8187,0.08,2e-05,1,Z,,,
10980498,0.278969,0.278971,0.27897,1.000007,309,0.1674169685148984,1.1,1.0,0.1627660451275153,1.1,0.9,15.94,0.33,48,0.1219249421139145,6.5,2.2,0.1260959304867952,6.4,2.3,15.91,0.27,3.5846,3.5874,357.1429,0.0804,29.0508,1.1949,1.2195,40.6339,0.0685,6.6653,0.06,1e-05,2,Z,,,
